,Restaurant Name,Address,Category,Rating,Number of Reviews,Price($),Price(1-5),Latitude,Longitude,coordinates,Distance
228,Jerusalem Restaurant,955 Eglinton Avenue W,Middle Eastern,4.0,94,$$,2,43.70001,-79.42889,"43.70001,-79.42889",10375
229,Campechano Taquería,504 Adelaide Street W,Mexican,4.0,183,$$,2,43.64586,-79.40077,"43.64586,-79.40077",1771
230,Luna Junction,2800 Dundas St W,Portuguese,4.5,35,,0,43.6656,-79.46276,"43.6656,-79.46276",9478
231,FAMO Sandwiches,122 Sherbourne Street,Sandwiches,4.5,34,$$,2,43.65404,-79.36956,"43.65404,-79.36956",2797
232,The Queen And Beaver Public House,35 Elm Street,Pubs,4.0,404,$$,2,43.65734,-79.38334,"43.65734,-79.38334",2855
233,Magical Taste of China,476 Dundas Street,Chinese,4.0,67,$$,2,43.65329794176252,-79.39690564934813,"43.65329794176252,-79.39690564934813",2162
234,Sakai Bar,1576 Dundas Street West,Japanese,4.5,22,,0,43.6499784722163,-79.4344709068537,"43.6499784722163,-79.4344709068537",6735
235,Bar'kada,745 Queen Street W,Filipino,4.0,25,,0,43.64642,-79.4071,"43.64642,-79.4071",2925
236,NaiNai Noodles,852 King Street W,Noodles,4.5,20,,0,43.64287659004824,-79.4085401467018,"43.64287659004824,-79.4085401467018",2736
237,iL Padrino,579 College Street,Italian,5.0,5,,0,43.65507,-79.41309,"43.65507,-79.41309",3836
238,Patria,480 King Street W,Spanish,4.0,532,$$$$,4,43.6455399,-79.39641,"43.6455399,-79.39641",1318
239,Banh Mi Boys,392 Queen Street W,Vietnamese,4.5,1235,$,1,43.64884,-79.39695,"43.64884,-79.39695",1714
240,Lamesa Filipino Kitchen,634 St Clair Avenue W,Filipino,4.0,366,$$,2,43.682297,-79.423948,"43.682297,-79.423948",9015
241,Paldo Gangsan,694 Bloor Street  W,Korean,4.5,85,$,1,43.664,-79.41743,"43.664,-79.41743",6713
242,The Four Seven,1211 Bloor Street  W,Tapas/Small Plates,4.5,32,$$,2,43.65876,-79.43993,"43.65876,-79.43993",9655
243,Chotto Matte,161 Bay Street,Japanese,3.5,149,,0,43.6462867067857,-79.3788714800065,"43.6462867067857,-79.3788714800065",1270
244,Gonzo Izakaya,940 College Street,Japanese,4.5,11,,0,43.65374,-79.42659,"43.65374,-79.42659",7325
245,Jacobs & Co. Steakhouse,12 Brant Street,Steakhouses,4.5,603,$$$$,4,43.64539876116,-79.3980279011192,"43.64539876116,-79.3980279011192",1637
246,Don Alfonso 1890,1 Harbour Square,Italian,4.5,31,$$$$,4,43.6413515,-79.3758977,"43.6413515,-79.3758977",1225
247,Mayrik,1580 Bayview Avenue,Mediterranean,4.0,70,$$$,3,43.70568,-79.3754,"43.70568,-79.3754",12169
248,Masaki Saito,88 Avenue Road,Japanese,4.5,10,,0,43.67224,-79.39586,"43.67224,-79.39586",5171
249,Pig Out BBQ,650 Spadina Avenue,Barbeque,4.0,100,$$,2,43.66317,-79.40253,"43.66317,-79.40253",3297
250,Prime Seafood Palace,944 Queen Street W,Seafood,4.0,10,,0,43.6448779224016,-79.41673144698143,"43.6448779224016,-79.41673144698143",3712
251,Rush Hour,1438A Dufferin Street,Portuguese,4.5,46,$$,2,43.67111,-79.44037,"43.67111,-79.44037",11661
252,DaiLo,503 College Street,Chinese,4.0,314,$$$,3,43.65574,-79.4098,"43.65574,-79.4098",3492
253,The Haifa Room,224 Ossington Avenue,Middle Eastern,3.5,16,,0,43.64921,-79.42093,"43.64921,-79.42093",3977
254,Alma,1194 Bloor Street W,Desserts,4.0,24,,0,43.65954,-79.43802,"43.65954,-79.43802",9880
255,White Lily Diner,678 Queen Street E,Breakfast & Brunch,4.5,139,$$,2,43.65881,-79.3511599,"43.65881,-79.3511599",4421
256,Ramen Buta-Nibo,547 Danforth Avenue,Ramen,4.5,9,,0,43.67821313270719,-79.34766188263893,"43.67821313270719,-79.34766188263893",10563
257,Piano Piano,623 Mt Pleasant Road,Italian,4.0,38,,0,43.7045,-79.3883,"43.7045,-79.3883",8605
258,Congee Queen,360 Yonge Street,Chinese,4.0,28,$$,2,43.658302,-79.381986,"43.658302,-79.381986",2754
259,Zakkushi on Queen West,620 Queen Street W,Japanese,4.5,53,,0,43.64706,-79.40546,"43.64706,-79.40546",2749
260,Mezes,456 Danforth Avenue,Greek,4.0,252,$$,2,43.6781397,-79.3502475,"43.6781397,-79.3502475",9944
261,Levant,899 Bloor Street W,Middle Eastern,4.5,25,,0,43.66159,-79.42615,"43.66159,-79.42615",7598
262,Playground Cafe,492 Parliament St,Cafes,4.5,10,,0,43.6648746,-79.3684892,"43.6648746,-79.3684892",4443
263,Café Zuzu,555 Dundas Street E,Cafes,4.5,5,,0,43.65992,-79.36271,"43.65992,-79.36271",3988
264,La Paella,1146 Queen Street E,Spanish,4.0,39,,0,43.6625299,-79.33427,"43.6625299,-79.33427",6924
265,The Loose Moose,146 Front Street West,Sports Bars,3.5,446,$$,2,43.64522746,-79.3838502,"43.64522746,-79.3838502",590
266,Hawk & Chick,1426 Dundas Street W,Korean,4.5,22,,0,43.64977,-79.42955,"43.64977,-79.42955",6605
267,The MoMo House,1422 Queen Street W,Dumplings,4.5,33,,0,43.64119,-79.43505,"43.64119,-79.43505",5673
268,The Heartbreak Chef,823 Dundas St W,Soul Food,4.5,45,,0,43.6515561,-79.408941,"43.6515561,-79.408941",3001
