Restaurant Name,Address,Category,Rating,Number of Reviews,Price($),Price(1-5),Latitude,Longitude
Oyster Express,296 Keefer Street,Seafood,4.5,164,$$,2,49.2792784082144,-123.097397130932
Bonjour Vietnam Bistro,3944 Fraser Street,Vietnamese,4.0,74,,0,49.249668,-123.0899331
Bentoya,500 Robson Street,Japanese,4.0,29,,0,49.2800969076001,-123.118120506406
Katsuya,1471 Robson St,Japanese,4.0,25,$$,2,49.28869,-123.13056
Bubble Waffle Cafe,555 W 12th Avenue,Bubble Tea,4.0,16,$,1,49.26086,-123.11629
Toshi Sushi,181 East 16th Avenue,Sushi Bars,4.0,435,$$,2,49.256699,-123.101936
Tamam: Fine Palestinian Cuisine,2616 E Hastings Street,Middle Eastern,4.0,157,$$,2,49.281027,-123.051462
Wang's Shanghai Cuisine,3328 Kingsway,Noodles,4.5,150,$$,2,49.232843,-123.034814
TAPshack - Coal Harbour,1199 W Cordova Street,Canadian (New),3.5,43,$$,2,49.2898381595055,-123.121286729857
The Roof,1032 Alberni Street,Seafood,4.0,77,$$$,3,49.2843582,-123.1222877
Ash Street Bistro,Legacy Senior Living,Bistros,4.5,11,$$,2,49.2337381,-123.1182868
Sushi Bar Ajisai,2081 West 42nd Avenue,Sushi Bars,4.0,409,$$,2,49.2338978,-123.1540943
Nando's Peri-Peri,722 Park Royal South,African,4.0,16,$$,2,49.32609287,-123.13602295459226
Boiling Point,4148 Main St,Taiwanese,3.5,87,$$,2,49.2482041,-123.1009003
Legendary Hot Pot,796 Main Street,Hot Pot,4.0,21,$$$,3,49.3257759,-123.1404864
Weirdo Cafe,6459 Victoria Drive,Cafes,4.0,79,$$,2,49.2257548,-123.0659564
Mountaintop Beef House,8542 Granville street,Chinese,4.5,2,,0,49.2089831,-123.1402972
Tacofino Oasis,122-1050 W Pender,Mexican,4.0,33,$$,2,49.2868011349216,-123.119574934244
InGrain Pastificio,1133 Mount Seymour Road,Italian,4.5,43,$$,2,49.3166,-122.96926
Seaside Provisions,125 Victory Ship Way,Tapas/Small Plates,4.0,38,,0,49.30998,-123.078463544705
Convivial Cafe and Bakery,680A Leg In Boot Square,Cafes,4.5,10,,0,49.2675426,-123.1196639
The Locus,4121 Main Street,Lounges,4.0,263,$$,2,49.2485,-123.10147
Avo House,1509 Robson Street,Sushi Bars,5.0,1,,0,49.289015,-123.131184
Via Pasta,208 Keefer St,Italian,4.0,13,,0,49.279361,-123.099308
Niu Niu BBQ Restaurant,2993 Granville Street,Japanese,4.0,2,,0,49.259078,-123.139147
Mr Red Cafe,2131 E Hastings Street,Vietnamese,4.0,202,$$,2,49.281317,-123.060882
Dang Anh Cafe,5186 Victoria Drive,Vietnamese,4.5,82,$$,2,49.2376581,-123.0652216
Yanaki Sushi,816 6th Avenue W,Japanese,4.0,76,$$,2,49.2657961,-123.1219663
Masa Japanese Restaurant,1418 W Broadway,Japanese,3.5,145,$$,2,49.2635194,-123.1369059
Land & Sea Restaurant & Bar,1864 W 57th Avenue,Japanese,4.0,51,$$$,3,49.21921,-123.1494
Devil's Elbow Ale & Smoke House,562 Beatty Street,Gastropubs,3.5,191,$$,2,49.2801437,-123.1098099
The Belgard Kitchen,55 Dunlevy Avenue,Tapas/Small Plates,4.0,208,$$,2,49.2843189,-123.0953933
Kaide Sushi,1375 Richards Street,Sushi Bars,4.5,238,$$,2,49.2742161,-123.1270679
Japadog,530 Robson Street,Hot Dogs,4.0,811,$,1,49.2802668,-123.1184049
Egg & Co,4245 Fraser Street,Breakfast & Brunch,4.0,61,$$,2,49.2470515,-123.0903867
Maruhachi Ra-Men,270 Robson Street,Ramen,4.0,251,$$,2,49.27854065320407,-123.1157914
Manpuku Bento,288 E Pender Street,Japanese,4.5,40,,0,49.2802491373977,-123.097699172795
Chelo,1078 Marine Drive,Middle Eastern,4.5,3,,0,49.324271,-123.104027
Dalina,992 W Broadway,Coffee & Tea,4.0,21,,0,49.2632496465408,-123.126448765397
Heritage Asian Eatery,1108 W Pender Street,Breakfast & Brunch,3.5,184,$$,2,49.2874921,-123.1208077
Moltan Roll Bar + Sake,1941 Cornwall Avenue,Japanese,4.0,37,,0,49.2726666,-123.1486987
One Under,476 Granville Street,Sports Bars,4.0,40,$$,2,49.2846904,-123.1145086
Lao Cai Dining & Entertainment,130-1425 Marine Dr,Chinese,4.5,21,,0,49.3281816,-123.1549893
taps & tacos,W 6th Ave & Manitoba St,Street Vendors,4.5,2,,0,49.26562,-123.10674
Autostrada,350 W Pender st,Italian,4.0,30,,0,49.2823159,-123.1114907
East is East,4433 Main Street,Middle Eastern,4.0,486,$$$,3,49.2452136,-123.1014916
Sawasdee Thai Restaurant,4250 Main Street,Thai,4.0,331,$$,2,49.24703,-123.1008
Bing and Noodles World,8185 Granville St,Chinese,4.0,23,,0,49.2117614,-123.1405989
Best Bite Donair,1091 Davie Street,Poutineries,4.0,29,$,1,49.2803206589938,-123.130853958428
Kwan Luck Restaurant,2516 Kingsway,Chinese,4.5,27,$$,2,49.2397118,-123.0541382
Dockside Restaurant,1253 Johnston Street,Seafood,3.0,266,$$$,3,49.2693844631928,-123.13101576314
Burgoo Bistro,4434 10th Avenue W,Comfort Food,4.0,129,$$,2,49.2635099,-123.20713
Hủ Tiếu Hồng Phát,5076 Victoria Drive,Noodles,4.0,12,,0,49.238338,-123.065047
Sprezzatura,265 Kingsway,Pizza,4.0,49,,0,49.2613547,-123.0978287
Harvest Deli,2963 W Broadway,Delis,4.5,142,$,1,49.2642749,-123.1715916
Subway,2079 Dundas Street,Sandwiches,1.5,32,$$,2,49.2850075,-123.0619513
Beanstalk Bistro,1496 Cartwright Street,American (Traditional),3.5,5,,0,49.2702199,-123.1356738
Turquoise Goat Board Game Cafe,122 W Hastings Street,Tabletop Games,5.0,1,,0,49.281952,-123.108033
Yuji's From Japan,2083 Alma Street,Sushi Bars,4.0,50,$$,2,49.26829655056762,-123.18604454110447
Jamjar Canteen,6035 University Boulevard,Lebanese,4.0,37,$$,2,49.2662351,-123.2475496
Off the Tracks Espresso Bar and Bistro,1363 Railspur Alley,Cafes,3.5,64,$$,2,49.2704079,-123.1340809
Baby Dhal Roti Shop,2707 Commercial Drive,Caribbean,4.0,16,,0,49.26029225937164,-123.0700069132788
Sing Sing,2718 Main Street,Beer Bar,3.5,118,$$,2,49.2607122038635,-123.100685477257
Score on Davie,1262 Davie Street,Sports Bars,4.5,343,$$,2,49.2823221457395,-123.134614739512
Lucy's Eastside Diner,2708 Main Street,Diners,3.0,338,$$,2,49.2609143,-123.1008146
Sushi Bang,2315 Cambie St,Japanese,2.5,26,,0,49.2647407188872,-123.115054406226
Corduroy,1943 Cornwall Ave,Bars,4.0,78,$$,2,49.2726149,-123.1486931
Sip Bowl La Mian,2255 W 41 Ave,Chinese,3.5,87,$$,2,49.2347871,-123.1588421
Social,1812 Commercial Dr,Gastropubs,3.5,18,$$,2,49.26848,-123.06947
Deja Brew,943 W Broadway,Coffee & Tea,4.5,52,$$,2,49.2636604,-123.1251297
Tendon Kohaku,6063 Silver Drive,Japanese,4.0,10,,0,49.2278910406839,-123.00348046083376
Daisy Garden Kitchen,142 E Pender St,Barbeque,3.0,11,,0,49.28016,-123.10131
852 Kitchen,4963 Joyce Street,Food Delivery Services,4.5,2,,0,49.2396,-123.03102
#CHIBOP,1805 Rosser Avenue S,Korean,4.5,6,,0,49.2677387,-123.0064866
Crab Hot Lau,2141 Kingsway,Hot Pot,4.0,18,$$,2,49.24431,-123.0627
Shun Fa Noodle House,5763 Victoria Drive,Noodles,3.5,28,$$,2,49.2319963399116,-123.065757080913
Hapag Ihaw-Ihaw,5432 Victoria Drive,Filipino,4.0,49,$$,2,49.2354429,-123.0653551
